symbol,vendor_keys,n_series
NVO,databento-xnas;databento-xnys,2
NVR,databento-xnys,1
NVS,databento-xnas;databento-xnys,2
NVST,databento-xnys,1
NVT,databento-xnas;databento-xnys,2
NVTS,databento-xnas,1
NWSA,databento-xnas,1
NXPI,databento-xnas,1
NXST,databento-xnas,1
NXT,databento-xnas,1
NYT,databento-xnys,1
O,databento-xnas;databento-xnys,2
OC,databento-xnys,1
OCTO,databento-xnas,1
ODFL,databento-xnas,1
OGE,databento-xnys,1
OHI,databento-xnys,1
OKE,databento-xnas;databento-xnys,2
OKLO,databento-xnas;databento-xnys,2
OKTA,databento-xnas,1
OLED,databento-xnas,1
OLLI,databento-xnas,1
OMC,databento-xnys,1
OMF,databento-xnys,1
ON,databento-xnas,1
ONB,databento-xnas,1
ONC,databento-xnas,1
ONDS,databento-xnas,1
ONON,databento-xnas;databento-xnys,2
ONTO,databento-xnas;databento-xnys,2
OPEN,databento-xnas,1
ORA,databento-xnys,1
ORCL,databento-xnas;databento-xnys,2
ORKA,databento-xnas,1
ORLY,databento-xnas,1
OSCR,databento-xnys,1
OSK,databento-xnys,1
OTIS,databento-xnys,1
OUST,databento-xnas,1
OVV,databento-xnas;databento-xnys,2
OWL,databento-xnys,1
OXY,databento-xnas;databento-xnys,2
OZK,databento-xnas,1
PAAS,databento-xnas;databento-xnys,2
PAG,databento-xnys,1
PANW,databento-xnas,1
PARR,databento-xnys,1
PATH,databento-xnas;databento-xnys,2
PAYC,databento-xnys,1
PAYX,databento-xnas,1
PB,databento-xnys,1
PBF,databento-xnys,1
PBR,databento-xnas;databento-xnys,2
PBR.A,databento-xnys,1
PCAR,databento-xnas,1
PCG,databento-xnas;databento-xnys,2
PCH,databento-xnas,1
PCOR,databento-xnys,1
PCTY,databento-xnas,1
PCVX,databento-xnas,1
PDCE,databento-xnas,1
PDCO,databento-xnas,1
PDD,databento-xnas,1
PEG,databento-xnas;databento-xnys,2
PEGA,databento-xnas,1
PEN,databento-xnys,1
PENG,databento-xnas,1
PEP,databento-xnas,1
PFE,databento-xnas;databento-xnys,2
PFG,databento-xnas,1
PFGC,databento-xnys,1
PG,databento-xnas;databento-xnys,2
PGR,databento-xnas;databento-xnys,2
PH,databento-xnas;databento-xnys,2
PHM,databento-xnys,1
PHYS,databento-xnas,1
PI,databento-xnas,1
PINS,databento-xnas;databento-xnys,2
PJT,databento-xnys,1
PK,databento-xnys,1
PKG,databento-xnys,1
PL,databento-xnys,1
PLD,databento-xnas;databento-xnys,2
PLNT,databento-xnys,1
PLTR,databento-xnas,1
PLUG,databento-xnas,1
PLXS,databento-xnas,1
PM,databento-xnas;databento-xnys,2
PNC,databento-xnas;databento-xnys,2
PNFP,databento-xnys,1
PNR,databento-xnas;databento-xnys,2
PNW,databento-xnys,1
PODD,databento-xnas,1
POET,databento-xnas,1
POOL,databento-xnas,1
POR,databento-xnys,1
POST,databento-xnys,1
POWL,databento-xnas,1
PPBI,databento-xnas,1
PPG,databento-xnys,1
PPL,databento-xnas;databento-xnys,2
PR,databento-xnys,1
PRAX,databento-xnas,1
PRI,databento-xnys,1
PRIM,databento-xnys,1
PRMB,databento-xnys,1
PRU,databento-xnys,1
PSA,databento-xnys,1
PSKY,databento-xnas,1
PSLV,databento-xnas,1
PSX,databento-xnas;databento-xnys,2
PTC,databento-xnas,1
PTCT,databento-xnas,1
PTEN,databento-xnas,1
PTGX,databento-xnas,1
PVH,databento-xnys,1
PWR,databento-xnas;databento-xnys,2
PXD,databento-xnas,1
PYPL,databento-xnas,1
QBTS,databento-xnas,1
QCOM,databento-xnas,1
QGEN,databento-xnas;databento-xnys,2
QID,databento-xnas,1
QLD,databento-xnas,1
QLYS,databento-xnas,1
QMMM,databento-xnas,1
QQQ,databento-xnas,1
QQQI,databento-xnas,1
QQQM,databento-xnas,1
QRVO,databento-xnas,1
QSR,databento-xnys,1
QXO,databento-xnys,1
R,databento-xnys,1
RACE,databento-xnas;databento-xnys,2
RAL,databento-xnys,1
RAPT,databento-xnas,1
RBA,databento-xnas;databento-xnys,2
RBC,databento-xnys,1
RBLX,databento-xnas;databento-xnys,2
RBRK,databento-xnas;databento-xnys,2
RCAT,databento-xnas,1
RCL,databento-xnas;databento-xnys,2
RDDT,databento-xnas;databento-xnys,2
RDFN,databento-xnas,1
RDW,databento-xnys,1
REG,databento-xnas,1
REGN,databento-xnas,1
RELY,databento-xnas,1
RETA,databento-xnas,1
REXR,databento-xnys,1
RF,databento-xnys,1
RGA,databento-xnys,1
RGEN,databento-xnas,1
RGLD,databento-xnas,1
RGTI,databento-xnas,1
RH,databento-xnys,1
RHI,databento-xnys,1
RHP,databento-xnys,1
RIG,databento-xnys,1
RIO,databento-xnas;databento-xnys,2
RIOT,databento-xnas,1
RIVN,databento-xnas,1
RJF,databento-xnys,1
RKLB,databento-xnas,1
RKT,databento-xnas;databento-xnys,2
RL,databento-xnas;databento-xnys,2
RMBS,databento-xnas,1
RMD,databento-xnas;databento-xnys,2
RNG,databento-xnys,1
RNR,databento-xnys,1
ROAD,databento-xnas,1
ROIV,databento-xnas,1
ROK,databento-xnas;databento-xnys,2
ROKU,databento-xnas,1
ROL,databento-xnys,1
ROP,databento-xnas,1
ROST,databento-xnas,1
RPM,databento-xnys,1
RPRX,databento-xnas,1
RRC,databento-xnys,1
RRX,databento-xnas;databento-xnys,2
RS,databento-xnys,1
RSG,databento-xnas;databento-xnys,2
RSP,databento-xnas;databento-xnys,2
RTX,databento-xnas;databento-xnys,2
RUN,databento-xnas,1
RVMD,databento-xnas,1
RVTY,databento-xnas;databento-xnys,2
RXDX,databento-xnas,1
RY,databento-xnas;databento-xnys,2
RYAN,databento-xnys,1
RYN,databento-xnys,1
RYTM,databento-xnas,1
S,databento-xnys,1
SAIA,databento-xnas,1
SAIC,databento-xnas,1
SAIL,databento-xnas,1
SAN,databento-xnas;databento-xnys,2
SANM,databento-xnas,1
SAP,databento-xnas;databento-xnys,2
SARO,databento-xnys,1
SATS,databento-xnas,1
SBAC,databento-xnas,1
SBNY,databento-xnas,1
SBUX,databento-xnas,1
SCCO,databento-xnys,1
SCHD,databento-xnas,1
SCHW,databento-xnas;databento-xnys,2
SCI,databento-xnys,1
SE,databento-xnas;databento-xnys,2
SEDG,databento-xnas,1
SEI,databento-xnys,1
SEIC,databento-xnas,1
SEZL,databento-xnas,1
SF,databento-xnys,1
SFM,databento-xnas,1
SGEN,databento-xnas,1
SGI,databento-xnas;databento-xnys,2
SGOV,databento-xnas;databento-xnys,2
SHAK,databento-xnys,1
SHEL,databento-xnas;databento-xnys,2
SHOP,databento-xnas,1
SHW,databento-xnas;databento-xnys,2
SHY,databento-xnas,1
SIMO,databento-xnas,1
SIRI,databento-xnas,1
SITE,databento-xnys,1
SITM,databento-xnas,1
SIVB,databento-xnas,1
SJM,databento-xnys,1
SKX,databento-xnas,1
SKY,databento-xnys,1
SLB,databento-xnas;databento-xnys,2
SLNO,databento-xnas,1
SLS,databento-xnas,1
SLV,databento-xnas;databento-xnys,2
SM,databento-xnys,1
SMAR,databento-xnas,1
SMCI,databento-xnas,1
SMH,databento-xnas,1
SMMT,databento-xnas,1
SMR,databento-xnas;databento-xnys,2
SMTC,databento-xnas,1
SN,databento-xnas;databento-xnys,2
SNA,databento-xnys,1
SNAP,databento-xnys,1
SNDK,databento-xnas,1
SNEX,databento-xnas,1
SNOW,databento-xnas;databento-xnys,2
SNPS,databento-xnas,1
SNX,databento-xnys,1
SNY,databento-xnas,1
SO,databento-xnas;databento-xnys,2
SOFI,databento-xnas,1
SOLV,databento-xnys,1
SONY,databento-xnys,1
SOUN,databento-xnas,1
SOXL,databento-xnas;databento-xnys,2
SOXQ,databento-xnas,1
SOXS,databento-xnas;databento-xnys,2
SOXX,databento-xnas,1
SPCX,databento-xnas,1
SPDN,databento-xnas,1
SPG,databento-xnys,1
SPGI,databento-xnas;databento-xnys,2
SPHR,databento-xnys,1
SPIB,databento-xnas,1
SPLG,databento-xnas,1
SPLK,databento-xnas,1
SPLV,databento-xnas,1
SPMO,databento-xnas,1
SPOT,databento-xnas;databento-xnys,2
SPXC,databento-xnys,1
SPXL,databento-xnas,1
SPXS,databento-xnas,1
SPXU,databento-xnas,1
SPY,databento-xnas;databento-xnys,2
SPYG,databento-xnas,1
SPYM,databento-xnas,1
SQ,databento-xnas,1
SQM,databento-xnys,1
SQQQ,databento-xnas,1
SRE,databento-xnas;databento-xnys,2
SRM,databento-xnas,1
SRPT,databento-xnas,1
SSB,databento-xnys,1
SSNC,databento-xnas,1
SSO,databento-xnas,1
SSRM,databento-xnas,1
STAG,databento-xnys,1
STE,databento-xnys,1
STEP,databento-xnas,1
STLA,databento-xnys,1
STLD,databento-xnas,1
STM,databento-xnas;databento-xnys,2
STNE,databento-xnas,1
STRC,databento-xnas,1
STRL,databento-xnas,1
STT,databento-xnys,1
STWD,databento-xnys,1
STX,databento-xnas,1
STZ,databento-xnys,1
SU,databento-xnas;databento-xnys,2
SUI,databento-xnys,1
SW,databento-xnas;databento-xnys,2
SWAV,databento-xnas,1
SWK,databento-xnys,1
SWKS,databento-xnas,1
SWTX,databento-xnas,1
SYF,databento-xnas;databento-xnys,2
SYK,databento-xnas;databento-xnys,2
SYM,databento-xnas,1
SYNA,databento-xnas,1
SYRE,databento-xnas,1
SYY,databento-xnys,1
T,databento-xnas;databento-xnys,2
TAL,databento-xnys,1
TAP,databento-xnys,1
TCOM,databento-xnas,1
TD,databento-xnas;databento-xnys,2
TDC,databento-xnys,1
TDG,databento-xnas;databento-xnys,2
TDY,databento-xnys,1
TE,databento-xnys,1
TEAM,databento-xnas,1
TECH,databento-xnas,1
TECK,databento-xnas;databento-xnys,2
TEL,databento-xnas;databento-xnys,2
TEM,databento-xnas,1
TENB,databento-xnas,1
TER,databento-xnas,1
TERN,databento-xnas,1
TEVA,databento-xnys,1
TEX,databento-xnys,1
TFC,databento-xnas;databento-xnys,2
TFX,databento-xnys,1
TGT,databento-xnas;databento-xnys,2
TGTX,databento-xnas,1
THC,databento-xnys,1
THG,databento-xnys,1
TIGO,databento-xnas,1
TJX,databento-xnas;databento-xnys,2
TKO,databento-xnys,1
TKR,databento-xnys,1
TLN,databento-xnas,1
TLT,databento-xnas,1
TMDX,databento-xnas,1
TME,databento-xnys,1
TMHC,databento-xnas,1
TMO,databento-xnas;databento-xnys,2
TMUS,databento-xnas,1
TNA,databento-xnas,1
TOL,databento-xnys,1
TOST,databento-xnas;databento-xnys,2
TPG,databento-xnas,1
TPL,databento-xnys,1
TPR,databento-xnas;databento-xnys,2
TPX,databento-xnas,1
TQQQ,databento-xnas,1
TREX,databento-xnys,1
TRGP,databento-xnas;databento-xnys,2
TRI,databento-xnas,1
TRMB,databento-xnas,1
TROW,databento-xnas,1
TRP,databento-xnys,1
TRU,databento-xnys,1
TRV,databento-xnas;databento-xnys,2
TSCO,databento-xnas,1
TSEM,databento-xnas,1
TSLA,databento-xnas,1
TSLL,databento-xnas,1
TSLQ,databento-xnas,1
TSM,databento-xnas;databento-xnys,2
TSN,databento-xnys,1
TT,databento-xnas;databento-xnys,2
TTAN,databento-xnas,1
TTC,databento-xnys,1
TTD,databento-xnas,1
TTE,databento-xnas;databento-xnys,2
TTEK,databento-xnas,1
TTMI,databento-xnas,1
TTWO,databento-xnas,1
TVTX,databento-xnas,1
TW,databento-xnas,1
TWLO,databento-xnas;databento-xnys,2
TWNK,databento-xnas,1
TWST,databento-xnas,1
TWTR,databento-xnas,1
TXG,databento-xnas,1
TXN,databento-xnas,1
TXRH,databento-xnas,1
TXT,databento-xnys,1
TYL,databento-xnas;databento-xnys,2
U,databento-xnas;databento-xnys,2
UAL,databento-xnas,1
UBER,databento-xnas;databento-xnys,2
UBS,databento-xnas,1
UCTT,databento-xnas,1
UDR,databento-xnys,1
UGI,databento-xnys,1
UGL,databento-xnas,1
UHS,databento-xnys,1
UI,databento-xnys,1
UL,databento-xnas;databento-xnys,2
ULTA,databento-xnas,1
UMBF,databento-xnas,1
UMC,databento-xnas;databento-xnys,2
UNH,databento-xnas;databento-xnys,2
UNM,databento-xnys,1
UNP,databento-xnas;databento-xnys,2
UPRO,databento-xnas,1
UPS,databento-xnas;databento-xnys,2
UPST,databento-xnas,1
URBN,databento-xnas,1
URI,databento-xnas;databento-xnys,2
USAR,databento-xnas,1
USB,databento-xnas;databento-xnys,2
USFD,databento-xnys,1
USMV,databento-xnas,1
USO,databento-xnas,1
UTHR,databento-xnas,1
V,databento-xnas;databento-xnys,2
VAC,databento-xnys,1
VAL,databento-xnys,1
VALE,databento-xnas;databento-xnys,2
VBIL,databento-xnas,1
VBTX,databento-xnas,1
VCIT,databento-xnas,1
VCLT,databento-xnas,1
VCSH,databento-xnas,1
VCTR,databento-xnas,1
VEA,databento-xnas,1
VEEV,databento-xnas;databento-xnys,2
VERA,databento-xnas,1
VFC,databento-xnys,1
VG,databento-xnys,1
VGIT,databento-xnas,1
VGSH,databento-xnas,1
VIAV,databento-xnas,1
VICI,databento-xnys,1
VICR,databento-xnas,1
VIK,databento-xnas;databento-xnys,2
VIRT,databento-xnys,1
VLO,databento-xnas;databento-xnys,2
VLTO,databento-xnys,1
VLY,databento-xnas,1
VMC,databento-xnas;databento-xnys,2
VMI,databento-xnys,1
VNOM,databento-xnas,1
VNQ,databento-xnas,1
VOO,databento-xnas;databento-xnys,2
VOYA,databento-xnys,1
VRNA,databento-xnas,1
VRNS,databento-xnas,1
VRSK,databento-xnas,1
VRSN,databento-xnas,1
VRT,databento-xnas;databento-xnys,2
VRTX,databento-xnas,1
VSAT,databento-xnas,1
VSEC,databento-xnas,1
VSH,databento-xnys,1
VST,databento-xnas;databento-xnys,2
VT,databento-xnas,1
VTEB,databento-xnas,1
VTI,databento-xnas,1
VTR,databento-xnas;databento-xnys,2
VTRS,databento-xnas,1
VTV,databento-xnas,1
VTWO,databento-xnas,1
VUG,databento-xnas,1
VVV,databento-xnys,1
VWO,databento-xnas,1
VXUS,databento-xnas,1
VZ,databento-xnas;databento-xnys,2
W,databento-xnas;databento-xnys,2
WAB,databento-xnys,1
WAL,databento-xnys,1
WAT,databento-xnas;databento-xnys,2
WAY,databento-xnas,1
WBA,databento-xnas,1
WBD,databento-xnas,1
WBS,databento-xnas,1
WCC,databento-xnys,1
WCN,databento-xnys,1
WDAY,databento-xnas,1
WDC,databento-xnas,1
WEC,databento-xnys,1
WELL,databento-xnas;databento-xnys,2
WEX,databento-xnys,1
WFC,databento-xnas;databento-xnys,2
WFRD,databento-xnas,1
WH,databento-xnys,1
WHR,databento-xnys,1
WING,databento-xnas,1
WIRE,databento-xnas,1
WIX,databento-xnas,1
WK,databento-xnys,1
WLK,databento-xnys,1
WM,databento-xnas;databento-xnys,2
WMB,databento-xnas;databento-xnys,2
WMS,databento-xnys,1
WMT,databento-xnas,1
WOLF,databento-xnys,1
WPC,databento-xnys,1
WPM,databento-xnas;databento-xnys,2
WRB,databento-xnys,1
WRBY,databento-xnys,1
WSC,databento-xnas,1
WSM,databento-xnas;databento-xnys,2
WSO,databento-xnys,1
WST,databento-xnys,1
WTFC,databento-xnas,1
WTRG,databento-xnys,1
WTS,databento-xnys,1
WTW,databento-xnas,1
WULF,databento-xnas,1
WWD,databento-xnas,1
WY,databento-xnys,1
WYNN,databento-xnas,1
X,databento-xnas,1
XBI,databento-xnas;databento-xnys,2
XEL,databento-xnas,1
XHB,databento-xnas,1
XLB,databento-xnas,1
XLC,databento-xnas,1
XLE,databento-xnas;databento-xnys,2
XLF,databento-xnas;databento-xnys,2
XLI,databento-xnas,1
XLK,databento-xnas;databento-xnys,2
XLP,databento-xnas,1
XLRE,databento-xnas,1
XLU,databento-xnas,1
XLV,databento-xnas;databento-xnys,2
XLY,databento-xnas,1
XME,databento-xnas,1
XOM,databento-xnas;databento-xnys,2
XOP,databento-xnas,1
XP,databento-xnas,1
XPO,databento-xnys,1
XRT,databento-xnas,1
XYL,databento-xnys,1
XYZ,databento-xnas;databento-xnys,2
YETI,databento-xnys,1
YMM,databento-xnys,1
YOU,databento-xnys,1
YUM,databento-xnas;databento-xnys,2
YUMC,databento-xnys,1
Z,databento-xnas,1
ZBH,databento-xnys,1
ZBRA,databento-xnas,1
ZEN,databento-xnas,1
ZETA,databento-xnas;databento-xnys,2
ZION,databento-xnas,1
ZM,databento-xnas,1
ZS,databento-xnas,1
ZTS,databento-xnas;databento-xnys,2
